0.2	0.2	0.2	0.2	0.2
0.16	0.16	0.16	0.16	0.36
0.16	0.16	0.16	0.36	0.16
0.16	0.16	0.36	0.16	0.16
0.16	0.36	0.16	0.16	0.16
0.36	0.16	0.16	0.16	0.16
0.12	0.12	0.12	0.12	0.52
0.12	0.12	0.12	0.32	0.32
0.12	0.12	0.12	0.52	0.12
0.12	0.12	0.32	0.12	0.32
0.12	0.12	0.32	0.32	0.12
0.12	0.12	0.52	0.12	0.12
0.12	0.32	0.12	0.12	0.32
0.12	0.32	0.12	0.32	0.12
0.12	0.32	0.32	0.12	0.12
0.12	0.52	0.12	0.12	0.12
0.32	0.12	0.12	0.12	0.32
0.32	0.12	0.12	0.32	0.12
0.32	0.12	0.32	0.12	0.12
0.32	0.32	0.12	0.12	0.12
0.52	0.12	0.12	0.12	0.12
0.08	0.08	0.08	0.08	0.68
0.08	0.08	0.08	0.28	0.48
0.08	0.08	0.08	0.48	0.28
0.08	0.08	0.08	0.68	0.08
0.08	0.08	0.28	0.08	0.48
0.08	0.08	0.28	0.28	0.28
0.08	0.08	0.28	0.48	0.08
0.08	0.08	0.48	0.08	0.28
0.08	0.08	0.48	0.28	0.08
0.08	0.08	0.68	0.08	0.08
0.08	0.28	0.08	0.08	0.48
0.08	0.28	0.08	0.28	0.28
0.08	0.28	0.08	0.48	0.08
0.08	0.28	0.28	0.08	0.28
0.08	0.28	0.28	0.28	0.08
0.08	0.28	0.48	0.08	0.08
0.08	0.48	0.08	0.08	0.28
0.08	0.48	0.08	0.28	0.08
0.08	0.48	0.28	0.08	0.08
0.08	0.68	0.08	0.08	0.08
0.28	0.08	0.08	0.08	0.48
0.28	0.08	0.08	0.28	0.28
0.28	0.08	0.08	0.48	0.08
0.28	0.08	0.28	0.08	0.28
0.28	0.08	0.28	0.28	0.08
0.28	0.08	0.48	0.08	0.08
0.28	0.28	0.08	0.08	0.28
0.28	0.28	0.08	0.28	0.08
0.28	0.28	0.28	0.08	0.08
0.28	0.48	0.08	0.08	0.08
0.48	0.08	0.08	0.08	0.28
0.48	0.08	0.08	0.28	0.08
0.48	0.08	0.28	0.08	0.08
0.48	0.28	0.08	0.08	0.08
0.68	0.08	0.08	0.08	0.08
0.04	0.04	0.04	0.04	0.84
0.04	0.04	0.04	0.24	0.64
0.04	0.04	0.04	0.44	0.44
0.04	0.04	0.04	0.64	0.24
0.04	0.04	0.04	0.84	0.04
0.04	0.04	0.24	0.04	0.64
0.04	0.04	0.24	0.24	0.44
0.04	0.04	0.24	0.44	0.24
0.04	0.04	0.24	0.64	0.04
0.04	0.04	0.44	0.04	0.44
0.04	0.04	0.44	0.24	0.24
0.04	0.04	0.44	0.44	0.04
0.04	0.04	0.64	0.04	0.24
0.04	0.04	0.64	0.24	0.04
0.04	0.04	0.84	0.04	0.04
0.04	0.24	0.04	0.04	0.64
0.04	0.24	0.04	0.24	0.44
0.04	0.24	0.04	0.44	0.24
0.04	0.24	0.04	0.64	0.04
0.04	0.24	0.24	0.04	0.44
0.04	0.24	0.24	0.24	0.24
0.04	0.24	0.24	0.44	0.04
0.04	0.24	0.44	0.04	0.24
0.04	0.24	0.44	0.24	0.04
0.04	0.24	0.64	0.04	0.04
0.04	0.44	0.04	0.04	0.44
0.04	0.44	0.04	0.24	0.24
0.04	0.44	0.04	0.44	0.04
0.04	0.44	0.24	0.04	0.24
0.04	0.44	0.24	0.24	0.04
0.04	0.44	0.44	0.04	0.04
0.04	0.64	0.04	0.04	0.24
0.04	0.64	0.04	0.24	0.04
0.04	0.64	0.24	0.04	0.04
0.04	0.84	0.04	0.04	0.04
0.24	0.04	0.04	0.04	0.64
0.24	0.04	0.04	0.24	0.44
0.24	0.04	0.04	0.44	0.24
0.24	0.04	0.04	0.64	0.04
0.24	0.04	0.24	0.04	0.44
0.24	0.04	0.24	0.24	0.24
0.24	0.04	0.24	0.44	0.04
0.24	0.04	0.44	0.04	0.24
0.24	0.04	0.44	0.24	0.04
0.24	0.04	0.64	0.04	0.04
0.24	0.24	0.04	0.04	0.44
0.24	0.24	0.04	0.24	0.24
0.24	0.24	0.04	0.44	0.04
0.24	0.24	0.24	0.04	0.24
0.24	0.24	0.24	0.24	0.04
0.24	0.24	0.44	0.04	0.04
0.24	0.44	0.04	0.04	0.24
0.24	0.44	0.04	0.24	0.04
0.24	0.44	0.24	0.04	0.04
0.24	0.64	0.04	0.04	0.04
0.44	0.04	0.04	0.04	0.44
0.44	0.04	0.04	0.24	0.24
0.44	0.04	0.04	0.44	0.04
0.44	0.04	0.24	0.04	0.24
0.44	0.04	0.24	0.24	0.04
0.44	0.04	0.44	0.04	0.04
0.44	0.24	0.04	0.04	0.24
0.44	0.24	0.04	0.24	0.04
0.44	0.24	0.24	0.04	0.04
0.44	0.44	0.04	0.04	0.04
0.64	0.04	0.04	0.04	0.24
0.64	0.04	0.04	0.24	0.04
0.64	0.04	0.24	0.04	0.04
0.64	0.24	0.04	0.04	0.04
0.84	0.04	0.04	0.04	0.04
1e-06	1e-06	1e-06	1e-06	1
1e-06	1e-06	1e-06	0.2	0.8
1e-06	1e-06	1e-06	0.4	0.6
1e-06	1e-06	1e-06	0.6	0.4
1e-06	1e-06	1e-06	0.8	0.2
1e-06	1e-06	1e-06	1	1e-06
1e-06	1e-06	0.2	1e-06	0.8
1e-06	1e-06	0.2	0.2	0.6
1e-06	1e-06	0.2	0.4	0.4
1e-06	1e-06	0.2	0.6	0.2
1e-06	1e-06	0.2	0.8	1e-06
1e-06	1e-06	0.4	1e-06	0.6
1e-06	1e-06	0.4	0.2	0.4
1e-06	1e-06	0.4	0.4	0.2
1e-06	1e-06	0.4	0.6	1e-06
1e-06	1e-06	0.6	1e-06	0.4
1e-06	1e-06	0.6	0.2	0.2
1e-06	1e-06	0.6	0.4	1e-06
1e-06	1e-06	0.8	1e-06	0.2
1e-06	1e-06	0.8	0.2	1e-06
1e-06	1e-06	1	1e-06	1e-06
1e-06	0.2	1e-06	1e-06	0.8
1e-06	0.2	1e-06	0.2	0.6
1e-06	0.2	1e-06	0.4	0.4
1e-06	0.2	1e-06	0.6	0.2
1e-06	0.2	1e-06	0.8	1e-06
1e-06	0.2	0.2	1e-06	0.6
1e-06	0.2	0.2	0.2	0.4
1e-06	0.2	0.2	0.4	0.2
1e-06	0.2	0.2	0.6	1e-06
1e-06	0.2	0.4	1e-06	0.4
1e-06	0.2	0.4	0.2	0.2
1e-06	0.2	0.4	0.4	1e-06
1e-06	0.2	0.6	1e-06	0.2
1e-06	0.2	0.6	0.2	1e-06
1e-06	0.2	0.8	1e-06	1e-06
1e-06	0.4	1e-06	1e-06	0.6
1e-06	0.4	1e-06	0.2	0.4
1e-06	0.4	1e-06	0.4	0.2
1e-06	0.4	1e-06	0.6	1e-06
1e-06	0.4	0.2	1e-06	0.4
1e-06	0.4	0.2	0.2	0.2
1e-06	0.4	0.2	0.4	1e-06
1e-06	0.4	0.4	1e-06	0.2
1e-06	0.4	0.4	0.2	1e-06
1e-06	0.4	0.6	1e-06	1e-06
1e-06	0.6	1e-06	1e-06	0.4
1e-06	0.6	1e-06	0.2	0.2
1e-06	0.6	1e-06	0.4	1e-06
1e-06	0.6	0.2	1e-06	0.2
1e-06	0.6	0.2	0.2	1e-06
1e-06	0.6	0.4	1e-06	1e-06
1e-06	0.8	1e-06	1e-06	0.2
1e-06	0.8	1e-06	0.2	1e-06
1e-06	0.8	0.2	1e-06	1e-06
1e-06	1	1e-06	1e-06	1e-06
0.2	1e-06	1e-06	1e-06	0.8
0.2	1e-06	1e-06	0.2	0.6
0.2	1e-06	1e-06	0.4	0.4
0.2	1e-06	1e-06	0.6	0.2
0.2	1e-06	1e-06	0.8	1e-06
0.2	1e-06	0.2	1e-06	0.6
0.2	1e-06	0.2	0.2	0.4
0.2	1e-06	0.2	0.4	0.2
0.2	1e-06	0.2	0.6	1e-06
0.2	1e-06	0.4	1e-06	0.4
0.2	1e-06	0.4	0.2	0.2
0.2	1e-06	0.4	0.4	1e-06
0.2	1e-06	0.6	1e-06	0.2
0.2	1e-06	0.6	0.2	1e-06
0.2	1e-06	0.8	1e-06	1e-06
0.2	0.2	1e-06	1e-06	0.6
0.2	0.2	1e-06	0.2	0.4
0.2	0.2	1e-06	0.4	0.2
0.2	0.2	1e-06	0.6	1e-06
0.2	0.2	0.2	1e-06	0.4
0.2	0.2	0.2	0.4	1e-06
0.2	0.2	0.4	1e-06	0.2
0.2	0.2	0.4	0.2	1e-06
0.2	0.2	0.6	1e-06	1e-06
0.2	0.4	1e-06	1e-06	0.4
0.2	0.4	1e-06	0.2	0.2
0.2	0.4	1e-06	0.4	1e-06
0.2	0.4	0.2	1e-06	0.2
0.2	0.4	0.2	0.2	1e-06
0.2	0.4	0.4	1e-06	1e-06
0.2	0.6	1e-06	1e-06	0.2
0.2	0.6	1e-06	0.2	1e-06
0.2	0.6	0.2	1e-06	1e-06
0.2	0.8	1e-06	1e-06	1e-06
0.4	1e-06	1e-06	1e-06	0.6
0.4	1e-06	1e-06	0.2	0.4
0.4	1e-06	1e-06	0.4	0.2
0.4	1e-06	1e-06	0.6	1e-06
0.4	1e-06	0.2	1e-06	0.4
0.4	1e-06	0.2	0.2	0.2
0.4	1e-06	0.2	0.4	1e-06
0.4	1e-06	0.4	1e-06	0.2
0.4	1e-06	0.4	0.2	1e-06
0.4	1e-06	0.6	1e-06	1e-06
0.4	0.2	1e-06	1e-06	0.4
0.4	0.2	1e-06	0.2	0.2
0.4	0.2	1e-06	0.4	1e-06
0.4	0.2	0.2	1e-06	0.2
0.4	0.2	0.2	0.2	1e-06
0.4	0.2	0.4	1e-06	1e-06
0.4	0.4	1e-06	1e-06	0.2
0.4	0.4	1e-06	0.2	1e-06
0.4	0.4	0.2	1e-06	1e-06
0.4	0.6	1e-06	1e-06	1e-06
0.6	1e-06	1e-06	1e-06	0.4
0.6	1e-06	1e-06	0.2	0.2
0.6	1e-06	1e-06	0.4	1e-06
0.6	1e-06	0.2	1e-06	0.2
0.6	1e-06	0.2	0.2	1e-06
0.6	1e-06	0.4	1e-06	1e-06
0.6	0.2	1e-06	1e-06	0.2
0.6	0.2	1e-06	0.2	1e-06
0.6	0.2	0.2	1e-06	1e-06
0.6	0.4	1e-06	1e-06	1e-06
0.8	1e-06	1e-06	1e-06	0.2
0.8	1e-06	1e-06	0.2	1e-06
0.8	1e-06	0.2	1e-06	1e-06
0.8	0.2	1e-06	1e-06	1e-06
1	1e-06	1e-06	1e-06	1e-06
